Researcher,Year,Title,Type,Abstract,Source,Authors,Institution,Topics,Affiliation Match
Federica Amici,2023,Giraffes make decisions based on statistical information,article,"The ability to make inferences based on statistical information has so far been tested only in animals having large brains in relation to their body size, like primates and parrots. Here we tested if giraffes (Giraffa camelopardalis), despite having a smaller relative brain size, can rely on relative frequencies to predict sampling outcomes. We presented them with two transparent containers filled with different quantities of highly-liked food and less-preferred food. The experimenter covertly drew one piece of food from each container, and let the giraffe choose between the two options. In the first task, we varied the quantity and relative frequency of highly-liked and less-preferred food pieces. In the second task, we inserted a physical barrier in both containers, so giraffes only had to take into account the upper part of the container when predicting the outcome. In both tasks giraffes successfully selected the container more likely to provide the highly-liked food, integrating physical information to correctly predict sampling information. By ruling out alternative explanations based on simpler quantity heuristics and learning processes, we showed that giraffes can make decisions based on statistical inferences.","<a href=""https://openalex.org/W4372335605"" target=""_blank"">OpenAlex</a>","Álvaro L. Caicoya, Montserrat Colell, Federica Amici","Universitat de Barcelona, Leipzig University",Decision-Making and Behavioral Economics,University of Leipzig
Federica Amici,2021,Dominance style predicts differences in food retrieval strategies,article,"In several species, rank predicts access to food, and subordinates may need specific behavioural strategies to get a share of resources. This may be especially important in despotic species, where resources are strongly biased in favour of dominants and subordinates may more strongly rely on specific tactics to maximize food intake. Here, we compared three macaque species with an experimental set-up reproducing feeding competition contest. Following our predictions, more tolerant species mostly retrieved food in the presence of others and were less dependent on specific tactics. Contrarily, subordinates in more despotic species more likely collected food (1) when dominants could not see food or (2) were attacking others, (3) while ""dissimulating"", or (4) ""storing food"". Our study reveals that dominance styles reliably predict the probability of using specific food retrieval tactics and provides important insights on the social conditions that might have led to the emergence of tactical deception.","<a href=""https://openalex.org/W3128083243"" target=""_blank"">OpenAlex</a>","José Gómez-Melara, Rufino Acosta Naranjo, Alba Castellano‐Navarro, Víctor Beltrán Francés, Álvaro L. Caicoya, Andrew J. J. MacIntosh, Risma Illa Maulany, Putu Oka Ngakan, Federica Amici","University of Girona, Hasanuddin University, Kyoto University, Universitat de Barcelona, Universidad de Sevilla, Universidad Cardenal Herrera CEU, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2022,Understanding potential conflicts between human and non-human-primates: a large-scale survey in Malaysia,article,"With increasing anthropogenic pressure, interactions between humans and wildlife may become more frequent, including conflictual ones. To reduce conflicts, it is important to understand how different factors (e.g. education, previous experience, demographic variables) interplay with each other and contribute to the emergence of negative attitudes and behaviours toward wildlife in humans. To address this issue, we conducted a large-scale questionnaire in Malaysia, focusing on potential conflicts between human and other primates. We used generalized linear mixed models to assess how formal education, knowledge about primates, negative experience and potential competition affected participants’ negative attitudes to primates (i.e. how humans perceive primates), their behavioural intentions (i.e. opinion on how to reduce conflicts) and behaviour (i.e. measures taken to reduce negative interactions). We found that negative experience and potential competition had a negative impact on participants’ attitude and behavior (i.e. primates were more likely perceived as filthy, as negatively affecting residents’ health and safety, and as an increasing problem, with participants more likely to use invasive methods, including captures). Both higher education and better knowledge of primates predicted more positive behavioural intentions (i.e. primates should be protected, non-invasive interventions should be used). Higher education, however, was also linked to more negative attitudes (i.e. primates negatively affect residents’ health and safety), and partly to negative behavior (e.g. use of invasive methods). In contrast, better knowledge about primates predicted positive behaviour (i.e. exclusive use of non-invasive methods). Therefore, although better knowledge of primates had no clear effect on human attitudes, it may impact on their decisions to reduce potential conflicts with wildlife, and might be the most powerful tool to mitigate conflicts between humans and other species.","<a href=""https://openalex.org/W4214741524"" target=""_blank"">OpenAlex</a>","Karimullah Karimullah, Anja Widdig, Shahrul Anuar Mohd Sah, Federica Amici","Max Planck Institute for Evolutionary Anthropology, Universiti Sains Malaysia, German Centre for Integrative Biodiversity Research, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2023,A Roadmap for Technological Innovation in Multimodal Communication Research,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4383755750"" target=""_blank"">OpenAlex</a>","Alina Gregori, Federica Amici, Ingmar Brilmayer, Aleksandra Ćwiek, L. Fritzsche, Susanne Fuchs, Alexander Henlein, Oliver Herbort, Frank Kügler, Jens Lemanski, Katja Liebal, Andy Lücking, Alexander Mehler, Kim Tien Nguyen, Wim Pouw, Pilar Prieto, Patrick Louis Rohrer, Paula G. Sánchez-Ramón, Martin Schulte‐Rüther, Petra B. Schumacher, Stefan R. Schweinberger, Volker Struckmeier, Patrick C. Trettenbrein, Celina I. von Eiff","University of Cologne, Max Planck Institute for Human Cognitive and Brain Sciences, Radboud University Nijmegen, Leibniz-Centre General Linguistics, Goethe University Frankfurt, Universitätsmedizin Göttingen, Friedrich Schiller University Jena, Leipzig University, Pompeu Fabra University, Institució Catalana de Recerca i Estudis Avançats, University of Würzburg",Hearing Impairment and Communication,University of Leipzig
Federica Amici,2020,Play behavior in immature moor macaques (<i>Macaca maura</i>) and Japanese macaques (<i>Macaca fuscata</i>),article,"Play is widespread across mammalian taxa, but species strongly vary in the ways they play. In less despotic primate species (i.e., with less steep dominance hierarchies, less severe conflicts, and more reconciliation), play has been described as being more frequent, cooperative, and freely expressed. To study the link between social play and dominance style, we compared play behavior in free‐ranging infants, juveniles and subadults of more despotic Japanese macaques ( Macaca fuscata, N = 24) and less despotic moor macaques ( Macaca maura, N = 17). We found interspecific differences in play behavior that corresponded with the contrasting dominance styles of the study species, largely confirming our predictions. In particular, moor macaques spent a larger proportion of time in solitary and social play than Japanese macaques, while Japanese macaques spent a larger proportion of time in grooming interactions. In moor macaques, play sessions included more players, a larger variety of play behaviors, greater play face rates, a greater proportion of time in contact play, and a higher rate of reciprocal play‐biting than in Japanese macaques. Aggressive escalations were not common, but more frequent in Japanese macaques. Finally, a higher frequency of play faces during play sessions predicted the occurrence of more reciprocal play‐bites, but not the proportion of time spent in contact play behaviors. Additional studies on other groups and species will allow a better understanding of the link between dominance style and social play.","<a href=""https://openalex.org/W3080548415"" target=""_blank"">OpenAlex</a>","Víctor Beltrán Francés, Alba Castellano‐Navarro, Risma Illa Maulany, Putu Oka Ngakan, Andrew J. J. MacIntosh, Miquel Llorente, Federica Amici","University of Girona, Hasanuddin University, Max Planck Institute for Evolutionary Anthropology, Kyoto University, Universidad Cardenal Herrera CEU, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2018,"Assessment of Male Reproductive Skew via Highly Polymorphic STR Markers in Wild Vervet Monkeys, Chlorocebus pygerythrus",article,"Male reproductive strategies have been well studied in primate species where the ability of males to monopolize reproductive access is high. Less is known about species where males cannot monopolize mating access. Vervet monkeys (Chlorocebus pygerythrus) are interesting in this regard as female codominance reduces the potential for male monopolization. Under this condition, we assessed whether male dominance rank still influences male mating and reproductive success, by assigning paternities to infants in a population of wild vervets in the Eastern Cape, South Africa. To determine paternity, we established microsatellite markers from noninvasive fecal samples via cross-species amplification. In addition, we evaluated male mating and reproductive success for 3 groups over 4 mating seasons. We identified 21 highly polymorphic microsatellites (number of alleles = 7.5 ± 3.1 [mean ± SD], observed heterozygosity = 0.691 ± 0.138 [mean ± SD]) and assigned paternity to 94 of 97 sampled infants (96.9%) with high confidence. Matings pooled over 4 seasons were significantly skewed across 3 groups, although skew indices were low (B index = 0.023-0.030) and mating success did not correlate with male dominance. Paternities pooled over 4 seasons were not consistently significantly skewed (B index = 0.005-0.062), with high-ranking males siring more offspring than subordinates only in some seasons. We detected 6 cases of extra-group paternity (6.4%) and 4 cases of natal breeding (4.3%). Our results suggest that alternative reproductive strategies besides priority of access for dominant males are likely to affect paternity success, warranting further investigation into the determinants of paternity among species with limited male monopolization potential.","<a href=""https://openalex.org/W2890189143"" target=""_blank"">OpenAlex</a>","Mirjam M I Minkner, Christopher Young, Federica Amici, Richard McFarland, Louise Barrett, J. Paul Grobler, S. Peter Henzi, Anja Widdig","Max Planck Institute for Evolutionary Anthropology, University of Pretoria, Onderstepoort Veterinary Academic Hospital, University of Lethbridge, University of the Witwatersrand, Pioneer (United States), University of the Free State, University of South Africa, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2018,Object permanence in Giraffa camelopardalis: First steps in giraffes’ physical cognition.,article,"lthough behavior, biology, and ecology of giraffes have been widely studied, little is known about their cognition. Giraffes' feeding ecology and their fission-fusion social dynamics are comparable with those of chimpanzees (Pan troglodytes), suggesting that they might have complex cognitive abilities. To assess this, we tested 6 captive giraffes on their object permanence, short-term memory, and ability to use acoustic cues to locate food. First, we tested whether giraffes understand that objects continue to exist even when they are out of sight. Giraffes saw one of two opaque containers containing food, then containers were closed, and 2 s later giraffes could choose one. Second, we measured giraffes' memory repeating the procedure but with a delay of 30 s, 60 s, or 2 min between closing the containers and subjects' choice. Finally, we investigated whether giraffes could locate food inside one of two identical opaque containers, when the only cue provided was the sound made by food when shaking the baited container, or the lack of sound when shaking the empty container. Our results show that giraffes form mental representations of completely hidden objects, but may not store them for longer than 30 s. Moreover, they rely on stimulus enhancement rather than acoustic cues to locate food, when no visual cues are provided. Finally, we argue that giraffes and other ungulates might be a suitable model to investigate the evolution of complex cognitive abilities from a comparative perspective. (PsycINFO Database Record (c) 2019 APA, all rights reserved).","<a href=""https://openalex.org/W2899572290"" target=""_blank"">OpenAlex</a>","Álvaro L. Caicoya, Federica Amici, Conrad Ensenyat, Montserrat Colell","Universitat de Barcelona, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2020,Giraffes go for more: a quantity discrimination study in giraffes (Giraffa camelopardalis),article,Abstract not available,"<a href=""https://openalex.org/W3097461996"" target=""_blank"">OpenAlex</a>","Álvaro L. Caicoya, Montserrat Colell, Ruben Holland, Conrad Ensenyat, Federica Amici","Universitat de Barcelona, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2021,Artificial Termite-Fishing Tasks as Enrichment for Sanctuary-Housed Chimpanzees: Behavioral Effects and Impact on Welfare,article,"ificial termite-fishing tasks are a common enrichment for captive great apes, promoting species-typical behaviors. Nonetheless, whether these activities are linked to changes in other behaviors and whether these changes persist over time has seldom been investigated. We assessed whether the use of an artificial termite-fishing task was linked to changes in the solitary behavior and social dynamics in two groups of sanctuary-housed chimpanzees (Pan troglodytes). Specifically, we compared chimpanzee behavior during eight enrichment sessions distributed over a two-month period, with similar periods before and after the introduction of the enrichment. Data were collected from combined interval and continuous sampling methods and were analyzed using generalized linear mixed models. We found that participation increased across sessions and that both enrichment and participation predicted an increase in tool use and feeding and a decrease in inactivity, which were all maintained throughout the sessions. Furthermore, participation was positively associated with social proximity, revealing a gathering effect of the task. However, neither enrichment nor participation were linked to changes in abnormal, self-directed, affiliation-related or aggression-related behaviors. Overall, our results support the hypothesis that artificial termite-fishing is a suitable enrichment for captive chimpanzees, maintaining the subjects' interest and promoting species-typical behaviors, with no negative effects on social activities.","<a href=""https://openalex.org/W3206459413"" target=""_blank"">OpenAlex</a>","Maria Padrell, Federica Amici, Maria Pau Córdoba, Albert Giberga, Antonio Broekman, Susana Almagro, Miquel Llorente","University of Girona, Max Planck Institute for Evolutionary Anthropology, Fundación Atapuerca, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2020,"Personality, cognition and behavior in chimpanzees: a new approach based on Eysenck’s model",article,"Personality has been linked to individual variation in interest and performance in cognitive tasks. Nevertheless, this relationship is still poorly understood and has rarely been considered in animal cognition research. Here, we investigated the association between personality and interest, motivation and task performance in 13 sanctuary chimpanzees (Pan troglodytes) housed at Fundació Mona (Spain). Personality was assessed with a 12-item questionnaire based on Eysenck's Psychoticism-Extraversion-Neuroticism model completed by familiar keepers and researchers. Additionally, personality ratings were compared to behavioral observations conducted over an 11-year period. Experimental tasks consisted in several puzzle boxes that needed to be manipulated in order to obtain a food reward. Dependent variables included participation (as an indicator of interest), success and latency (as measures of performance), and losing contact with the task (as an indicator of motivation). As predicted, we obtained significant correlations between Eysenck's personality traits and observed behaviors, although some expected associations were absent. We then analyzed data using Generalized Linear Mixed Models, running a model for each dependent variable. In both sexes, lower Extraversion and lower Dominance were linked to a higher probability of success, but this effect was stronger in females. Furthermore, higher Neuropsychoticism predicted higher probability of success in females, but not in males. The probability of losing contact with the task was higher in young chimpanzees, and in those rated lower on Extraversion and higher on Dominance. Additionally, chimpanzees rated higher on Neuropsychoticism were also more likely to stop interacting with the task, but again this was more evident in females. Participation and latency were not linked to any personality trait. Our findings show that the PEN may be a good model to describe chimpanzee personality, and stress the importance of considering personality when interpreting the results of cognitive research in non-human primates.","<a href=""https://openalex.org/W3049640954"" target=""_blank"">OpenAlex</a>","Maria Padrell, David Riba, Yulán Úbeda, Federica Amici, Miquel Llorente","University of Girona, Max Planck Institute for Evolutionary Anthropology",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2021,Reaction to Snakes in Wild Moor Macaques (Macaca maura),article,"Snake predation is considered an important evolutionary force for primates. Yet, very few studies have documented encounters between primates and snakes in the wild. Here, we provide a preliminary account of how wild moor macaques ( Macaca maura ) respond to seven species of real and model snakes. Snakes could be local and dangerous to the macaques (i.e., venomous or constricting), local and nondangerous, and novel and dangerous. Macaques reacted most strongly to constrictors (i.e., pythons), exploring them and producing alarm calls, and partially to vipers (both local and novel), exploring them but producing no alarm calls. However, they did not react to other dangerous (i.e., king cobra) or nondangerous species. Our results suggest that moor macaques discriminate local dangerous snakes from nondangerous ones, and may use specific cues (e.g., triangular head shape) to generalize their previous experience with vipers to novel species.","<a href=""https://openalex.org/W3179302407"" target=""_blank"">OpenAlex</a>","Clara Hernández Tienda, Víctor Beltrán Francés, Bonaventura Majolo, Teresa Romero, Risma Illa Maulany, Putu Oka Ngakan, Federica Amici","University of Girona, Hasanuddin University, University of Lincoln, Max Planck Institute for Evolutionary Anthropology",Animal Vocal Communication and Behavior,University of Leipzig
Federica Amici,2022,Cognitive enrichment in a social setting: assessing the use of a novel food maze in sanctuary-housed chimpanzees,article,"Foraging devices are effective enrichment tools for non-human primates, as they provide both cognitive and manipulative stimulation that may enhance these animals' welfare. We assessed the behavioral effects of a novel tool-based enrichment on 14 chimpanzees (Pan troglodytes) housed at Fundació Mona (Girona, Spain). The device consisted of a vertical maze filled with food rewards, which chimpanzees could extract by using tools. We conducted behavioral observations in two conditions over an approximately 2.5-month period: when the food maze was loaded (12 enrichment days), and when it was empty (12 baseline days). Data were collected using 2-min scan sampling and untimed-event focal sampling during two daily sessions of 80 min each. We expected that the chimpanzees' interest in the enrichment would decrease over time, but that its use would be linked to an increase in the occurrence of species-typical behaviors, a reduction in negative indicators of welfare, and changes in social behaviors. We found that participation widely varied among subjects, being higher in females and decreasing through time. Furthermore, participation was linked to an increase in tool use and a decrease in inactivity, but also to an increase in aggression-related behaviors. In contrast, participation had no effect on the occurrence of abnormal behaviors, social proximity or affiliation-related behaviors. Finally, we detected an increase in self-directed behaviors only when subjects actively interacted with the device. We conclude that, in future studies, these types of devices should be evaluated for longer periods of time and more attention should be paid to individuals' preferences and abilities.","<a href=""https://openalex.org/W4285726354"" target=""_blank"">OpenAlex</a>","Maria Padrell, Federica Amici, Maria Pau Córdoba, Miquel Llorente","University of Girona, Max Planck Institute for Evolutionary Anthropology",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2019,Dogs (Canis familiaris) and wolves (Canis lupus) coordinate with conspecifics in a social dilemma.,article,"Cooperative hunting is generally considered to be a cognitively challenging activity, as individuals have to coordinate movements along with a partner and at the same time react to the prey. Wolves are said to engage in cooperative hunting regularly, whereas dogs could have maintained, improved, or reduced their cooperative skills during the domestication process. We compared the performance of individuals from two wolf packs and two dog groups with similar gender and rank structure. Members of these groups were tested in dyads with a problem-solving paradigm that involved aspects of a hunting-like situation. Subjects needed to coordinate their actions in order to get food. They were confronted with a social dilemma, in which an individual benefit from being selfish, unless the partner also chooses the selfish alternative, in which case the whole dyad loses. In the task, one partner was required to draw a barrier toward it by rushing forward, allowing the other partner to access the food, at which point both partners were allowed to access the food. Most dyads could solve the problem, with significant variation in their performance but no differences between species. However, the probability of taking the risk in a dyad depended on the species and rank of the individual and on cofeeding in the dyad. The results of this study show that wolves do not always outperform dogs when coordinating their actions, but that the cooperative behavior of Canis depends on many factors, including rank, type of task, and tolerance within the dyad. (PsycInfo Database Record (c) 2020 APA, all rights reserved).","<a href=""https://openalex.org/W2996286598"" target=""_blank"">OpenAlex</a>","Juliane Bräuer, Katharina Stenglein, Federica Amici",,Human-Animal Interaction Studies,University of Leipzig
Federica Amici,2019,An evolutionary perspective on the development of primate sociality,article,Abstract not available,"<a href=""https://openalex.org/W2966535872"" target=""_blank"">OpenAlex</a>","Federica Amici, Anja Widdig",Max Planck Institute for Evolutionary Anthropology,Primate Behavior and Ecology,University of Leipzig
Federica Amici,2023,Gestural communication in wild spider monkeys (Ateles geoffroyi),preprint,"Gestures play a central role in the communication systems of several species, including primates. In this study, we provide a first assessment of the gestural systems of a Platyrrhine species, Geoffroy’s spider monkeys ( Ateles geoffroyi ). We observed a wild group of 52 spider monkeys, and assessed the distribution of visual and tactile gestures in the group, the size of individual repertoires, and the intentionality and effectiveness of individuals’ gestural production. Our results showed that younger spider monkeys were more likely than older ones to use tactile gestures, despite no inter-individual differences in the distribution of visual gestures. Repertoire size did not vary with age, whereas the probability of accounting for recipients’ attentional state was higher for older monkeys than for younger ones, especially for gestures in the visual modality. Using vocalizations right before the gesture increased the probability of gesturing toward attentive recipients and of receiving a response, although age had no effect on the probability of gestures being responded. Overall, our study provides first evidence of complex gestural communication in a Platyrrhine species, and confirms this taxon as a valid candidate for research on animal communication.","<a href=""https://openalex.org/W4321370262"" target=""_blank"">OpenAlex</a>","Felipe Villa Larenas, Miquel Llorente, Katja Liebal, Federica Amici","University of Girona, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2020,"No evidence of what-where-when memory in great apes (Pan troglodytes, Pan paniscus, Pongo abelii, and Gorilla gorilla).",article,"Episodic memory is the ability to recollect specific past events belonging to our personal experience, and it is one of the most crucial human abilities, allowing us to mentally travel through time. In animals, however, evidence of what-where-when memory (hereafter, WWW memory) is limited to very few taxa, mostly reflecting the socioecological challenges faced in their environment. In this article, we aimed to replicate 2 studies previously conducted on birds and primates to find convincing evidence of WWW memory in great apes. For this purpose, we tested 12 captive great apes in 3 different tasks. In Task 1, we tested whether great apes take into account temporal information when choosing between highly preferred perishable and less-preferred nonperishable food items. In Task 2, we tested whether great apes can differentiate between similar events having happened at different times in the past. Finally, in Task 3, we tested whether great apes can use their memory flexibly, incorporating novel information in their memories. In none of the tasks did our subjects make the correct choice significantly above chance, with performance further declining when subjects were presented with 2 events (Task 2). Moreover, none of them could reliably integrate novel information into their memories. Overall, our study casts doubt on the existence of WWW memory in great apes, and especially calls for more caution when using WWW memory tasks and interpreting their results. (PsycInfo Database Record (c) 2020 APA, all rights reserved).","<a href=""https://openalex.org/W3005733003"" target=""_blank"">OpenAlex</a>","Jordi Pladevall, Natacha Mendes, David Riba, Miquel Llorente, Federica Amici","University of Girona, Max Planck Institute for Evolutionary Anthropology, Max Planck Society, Max Planck Institute for Human Cognitive and Brain Sciences",Memory and Neural Mechanisms,University of Leipzig
Federica Amici,2020,There is no other monkey in the mirror for spider monkeys (Ateles geoffroyi).,article,"Mirror self-recognition (MSR), usually considered a marker of self-awareness, occurs in several species and may reflect a capacity that has evolved in small incremental steps. In line with research on human development and building on previous research adopting a gradualist framework, we categorized the initial mirror responses of naive spider monkeys (Ateles geoffroyi) according to four levels. We compared social, exploratory, contingent and self-exploratory responses to a mirror and faux mirror during three short trials. If spider monkeys respond as most monkey species, we predicted they would perform at level 0, mainly showing social behavior toward their mirror-image. However, because spider monkeys show enhancement of certain cognitive skills comparable to those of great ape species, we predicted that they would perform at level 1a (showing exploratory behavior) or 1b (showing contingent behavior). GLMMs revealed that monkeys looked behind and visually inspected the mirror significantly more in the mirror than the faux mirror condition. Although the monkeys engaged in contingent body movements at the mirror, this trend was not significant. Strikingly, they showed no social behaviors toward their mirror-image. We also measured self-scratching as an indicator of anxiety and found no differences in frequencies of self-scratching between conditions. Therefore, in contrast to most findings on other species, spider monkeys did not treat their image as another monkey during their initial exposure to the mirror. In fact, they reached at least level 1a within minutes of mirror exposure. These responses recommend spider monkeys as good candidates for further explorations into monkey self-recognition. (PsycInfo Database Record (c) 2020 APA, all rights reserved).","<a href=""https://openalex.org/W3036426056"" target=""_blank"">OpenAlex</a>","Lindsay Murray, Colleen M. Schaffner, Filippo Aureli, Federica Amici",,Child and Animal Learning Development,University of Leipzig
Federica Amici,2021,"Comparative cognition in three understudied ungulate species: European bison, forest buffalos and giraffes",article,"Background Comparative cognition has historically focused on a few taxa such as primates, birds or rodents. However, a broader perspective is essential to understand how different selective pressures affect cognition in different taxa, as more recently shown in several studies. Here we present the same battery of cognitive tasks to two understudied ungulate species with different socio-ecological characteristics, European bison ( Bison bonasus ) and forest buffalos ( Syncerus caffer nanus ), and we compare their performance to previous findings in giraffes ( Giraffa camelopardalis ). We presented subjects with an Object permanence task, Memory tasks with 30 and 60 s delays, two inference tasks based on acoustic cues (i.e. Acoustic inference tasks) and a control task to check for the use of olfactory cues (i.e. Olfactory task). Results Overall, giraffes outperformed bison and buffalos, and bison outperformed buffalos (that performed at chance level). All species performed better in the Object permanence task than in the Memory tasks and one of the Acoustic inference tasks (which they likely solved by relying on stimulus enhancement). Giraffes performed better than buffalos in the Shake full Acoustic inference task, but worse than bison and buffalos in the Shake empty Acoustic inference task. Conclusions In sum, our results are in line with the hypothesis that specific socio-ecological characteristics played a crucial role in the evolution of cognition, and that higher fission-fusion levels and larger dietary breadth are linked to higher cognitive skills. This study shows that ungulates may be an excellent model to test evolutionary hypotheses on the emergence of cognition.","<a href=""https://openalex.org/W3176928289"" target=""_blank"">OpenAlex</a>","Álvaro L. Caicoya, Federica Amici, Conrad Ensenyat, Montserrat Colell","Universitat de Barcelona, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2024,Moor Macaques (Macaca maura) Remember Earlier Habituation Despite Changes in Group Composition,article,"Habituation, in which repeated neutral contacts with human observers lead to reduced, and eventually no, response by primates, is commonly used to study animals in the wild (Williamson & Feistner, 2011).Understanding how habituation affects animal behaviour is important to better evaluate its ethical implications and to improve habituation methods.The time needed to successfully habituate study animals depends on several factors, including their socioecological characteristics, personality, and previous experience with humans (Allan et al., 2020;Williamson & Feistner, 2011).For example, animals that have previously experienced neutral exposure to humans may habituate more quickly than animals that have rarely encountered or have been threatened by humans (Sak et al., 2013;Hernandez-Tienda et al., 2022).Very few empirical data exist concerning whether, or for how long, animals remain habituated when they are not continuously exposed to researchers.If the memory of habituation is long-term, animals should remain habituated after a period with no exposure to researchers.Moreover, when recontacted, animals should show a high proportion of neutral responses and a low distance to researchers if negative exposure to other humans did not attenuate habituation in the meantime (Prediction","<a href=""https://openalex.org/W4390506202"" target=""_blank"">OpenAlex</a>","Fiqhi Rahman, Risma Illa Maulany, Putu Oka Ngakan, Cesar Rodriguez del Castillo, Bonaventura Majolo, Federica Amici","University of Girona, Hasanuddin University, University of Lincoln, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2024,Gestural sequences in wild spider monkeys (Ateles geoffroyi),preprint,"To date, research on gestural communication in species other than great apes has been quite limited, especially in their natural habitat. In this study, we aimed to explore the use of gestural sequences in an understudied neotropical primate species, Geoffroy’s spider monkeys ( Ateles geoffroyi ). To this aim, we conducted behavioural observations via focal sampling on a wild group consisting of 54 individuals and collected 709 gestures, including 125 sequences and 182 gestures that were not part of a sequence. Most sequences included 2-4 gestures and were produced in the play context. Sequences often continued even after triggering the recipient’s response and were mostly produced by males and younger individuals, toward younger recipients. Only three sequences (i.e., embrace-pectoral sniff, push-present climb, grab-grab pull) occurred more than twice and were not mere repetitions of the same gesture type. Our results suggest that sequences are common in the gestural communication of spider monkeys and that they are likely the result of increased emotional arousal, rather than an attempt to convey novel meaning.","<a href=""https://openalex.org/W4392230919"" target=""_blank"">OpenAlex</a>","Eva Corral, Sara Cardoso Rodriguez, Katja Liebal, Miquel Llorente, Federica Amici","University of Girona, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2024,A first exploratory comparison of the behaviour of wolves (Canis lupus) and wolf-dog hybrids in captivity,article,"Extensive introgression of genes from domesticated taxa may be a serious threat for the genomic integrity and adaptability of wild populations. Grey wolves ( Canis lupus ) are especially vulnerable to this phenomenon, but there are no studies yet assessing the potential behavioural effects of dog-introgression in wolves. In this study, we conducted a first systematic comparison of admixed (N = 11) and non-admixed (N = 14) wolves in captivity, focusing on their reaction to unfamiliar humans and novel objects, and the cohesiveness of their social groups. When exposed to unfamiliar humans in the experimental task, wolves were more vigilant, fearful and aggressive than admixed wolves, and less likely to approach humans, but also more likely to spend time in human proximity. When exposed to novel objects, wolves were more aggressive than admixed wolves, less likely to spend time in object proximity, and more likely to interact with objects, but also less vigilant and as fearful as admixed wolves. Finally, social networks were more cohesive in wolves than in admixed wolves. Although caution is needed when comparing groups of captive individuals with different life experiences, our study suggests that dog admixture may lead to important behavioural changes in wolves, with possible implications for conservation strategies.","<a href=""https://openalex.org/W4392344656"" target=""_blank"">OpenAlex</a>","Federica Amici, Simone Meacci, Emmeline Caray, Linda Oña, Katja Liebal, Paolo Ciucci","Université de Strasbourg, Max Planck Institute for Evolutionary Anthropology, Leipzig University, Sapienza University of Rome",Human-Animal Interaction Studies,University of Leipzig
Federica Amici,2024,Gestural communication in wild spider monkeys (Ateles geoffroyi),article,"Gestures play a central role in the communication systems of several animal families, including primates. In this study, we provide a first assessment of the gestural systems of a Platyrrhine species, Geoffroy’s spider monkeys ( Ateles geoffroyi ). We observed a wild group of 52 spider monkeys and assessed the distribution of visual and tactile gestures in the group, the size of individual repertoires and the intentionality and effectiveness of individuals’ gestural production. Our results showed that younger spider monkeys were more likely than older ones to use tactile gestures. In contrast, we found no inter-individual differences in the probability of producing visual gestures. Repertoire size did not vary with age, but the probability of accounting for recipients’ attentional state was higher for older monkeys than for younger ones, especially for gestures in the visual modality. Using vocalizations right before the gesture increased the probability of gesturing towards attentive recipients and of receiving a response, although age had no effect on the probability of gestures being responded. Overall, our study provides first evidence of gestural production in a Platyrrhine species, and confirms this taxon as a valid candidate for research on animal communication.","<a href=""https://openalex.org/W4392346509"" target=""_blank"">OpenAlex</a>","Felipe Villa-Larenas, Miquel Llorente, Katja Liebal, Federica Amici","University of Girona, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2024,"Object Understanding in Ungulates: Evidence of Object Permanence, Short-Term Memory, Causality, Understanding of Object Properties and Gravity across Five Different Species",preprint,"In their natural environment, animals face a variety of ecological and social challenges, which might be linked to the emergence of different cognitive skills. To assess inter-specific variation in cognitive skills, we used ungulates as a study model, testing a total of 26 captive individuals across 5 different species (i.e., dwarf goats, Capra aegagrus hircus , llamas, Lama glama , guanacos, Lama guanicoe , zebras, Equus grevyi , and rhinos, Diceros bicornis michaeli ). Across species, we used the same well-established experimental procedures to test individuals’ object permanence, short-term memory, causality, understanding of object properties, and gravity. Our results revealed that study subjects showed object permanence, were able to remember the position of hidden food after up to 60 seconds, and inferred the position of hidden food from the sound produced or not produced when shaking containers. Moreover, they showed an understanding of basic object properties, being able to locate objects hidden behind occluders based on their size and inclination, and could reliably follow the trajectory of falling objects across different conditions. Finally, inter-specific differences were limited to the understanding of object properties, and suggest that domesticated species as goats might perform better than non-domesticated ones in tasks requiring these skills. These results provide new information on the cognitive skills of a still understudied taxon and confirm ungulates as a promising taxon for the comparative study of cognitive evolution.","<a href=""https://openalex.org/W4393574748"" target=""_blank"">OpenAlex</a>","Alina Schaffer, Anja Widdig, Ruben Holland, Federica Amici",Max Planck Institute for Evolutionary Anthropology,Human-Animal Interaction Studies,University of Leipzig
