Researcher,Year,Type,Title,Abstract,Source,Authors,Database Affiliation,Publication Institutions,Matched Affiliation,Topic,Review Flag
Marion Bonnet,2018.0,article,"Évolution du tourisme de transplantation rénale en France, complications et survie des greffons",Abstract not available,"<a href=""https://openalex.org/W2890089198"" target=""_blank"">OpenAlex</a>","Marion Bonnet, C Hiesse, Rébecca Sberro‐Soussan, Denis Glotz, Antoine Dürrbach, Christine Randoux, Jérôme Tourret, Éric Rondeau, Moglie Le Quintrec",University of Göttingen,"Hôpital Lapeyronie, Hôpital Foch, Hôpital Necker-Enfants Malades, Hôpital Saint-Louis, Bicêtre Hospital, Hôpital Bichat-Claude-Bernard, Pitié-Salpêtrière Hospital, Sorbonne Université, Hôpital Tenon, Sorbonne Université, Hôpital Lapeyronie",No,Organ Donation and Transplantation,Yes
Marion Bonnet,2019.0,dissertation,Optimisation et développement de milieux de culture,"Du fait de la decouverte de nouvelles especes bacteriennes grâce a la technique de culturomics consistant a utiliser un grand nombre de milieux de culture et de conditions de culture, la culture bacterienne a connu un nouvel essor. Il est necessaire de developper des milieux de culture selectifs afin d’isoler des bacteries specifiques. En effet, certaines bacteries ont une grande importance en sante humaine et notamment dans l’induction de la reponse a certains traitements anti-cancereux. Identifier rapidement ces bacteries dans le microbiote intestinal des malades pourra permettre un gain de temps dans la prise en charge de leur maladie. De plus, arriver a cultiver dans un meme milieu les bacteries anaerobies et aerobies en conditions d’aerobiose permettrait egalement une plus grande rapidite dans le rendu des resultats et le traitement des patients en cas d’infection. Ce travail de these a ete divise en quatre objectifs : etablir les elements essentiels a l’elaboration d’un milieu de culture et a la croissance des bacteries, mettre au point un milieu de culture qui permette l’isolement de la bacterie Enterococcus hirae, optimiser un milieu de culture qui permette a la fois la croissance des bacteries anaerobies et aerobies en conditions d’aerobiose, developper une technique qui permette d’hydrater en continu la gelose.","<a href=""https://openalex.org/W2987656604"" target=""_blank"">OpenAlex</a>",Marion Bonnet,University of Göttingen,Aix-Marseille Université,No,Microbial Metabolism and Applications,Yes
Marion Bonnet,2022.0,report,UK CTAP Briefing on Ivermectin - National Core Studies,Abstract not available,"<a href=""https://openalex.org/W4220679068"" target=""_blank"">OpenAlex</a>","Marion Bonnet, Alison Cave, Matthias P. Hofer, Glenn A. McConkey, Nicholas Medcalf, Stephen P. Smith, Teresa Tsakok, Robert Watson, Steve Webster, Tao You",University of Göttingen,"Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult",No,Parasitic Diseases Research and Treatment,Yes
Marion Bonnet,2022.0,report,UK CTAP Briefing on Vitamin D - National Core Studies,Abstract not available,"<a href=""https://openalex.org/W4220913362"" target=""_blank"">OpenAlex</a>","Marion Bonnet, Alison Cave, Matthias P. Hofer, Glenn A. McConkey, Nicholas Medcalf, Stephen P. Smith, Teresa Tsakok, Robert Watson, Steve Webster, Tao You",University of Göttingen,"Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult, Digital Catapult",No,Vitamin D Research Studies,Yes
Marion Bonnet,2021.0,article,198 Il-33 is a central mediator of necroptosis-induced skin inflammation,Abstract not available,"<a href=""https://openalex.org/W3207710225"" target=""_blank"">OpenAlex</a>","Marion Bonnet, A. Fernandez-Nasarre, Ernest Choy, Martine Bagot, Armand Bensussan",University of Göttingen,"Cardiff University, Cardiff University, Cardiff University, Inserm, Hôpital Saint-Louis, Assistance Publique – Hôpitaux de Paris, Hôpital Saint-Louis, Inserm",No,"IL-33, ST2, and ILC Pathways",Yes
Marion Bonnet,2021.0,preprint,ESDR198 - Il-33 is a central mediator of necroptosis-induced skin inflammation.,Abstract not available,"<a href=""https://openalex.org/W4212994648"" target=""_blank"">OpenAlex</a>",Marion Bonnet,University of Göttingen,,No,Inflammasome and immune disorders,Yes
Jana Bressem,2024.0,book,The Cambridge Handbook of Gesture Studies,"The study of gesture-the movements people make with their hands when talking-has grown into a well-established field and research is still being pushed into exciting new directions. Bringing together a team of leading scholars, this Handbook provides a comprehensive overview of gesture studies, combining historical overviews as well as current, concise snapshots of state-of-the-art, multidisciplinary research. Organised into five thematic parts, it considers the roles of both psychological and interactional processes in gesture use, and considers the status of gesture in relation to language. Attention is given to different theoretical and methodological frameworks for studying gesture, including semiotic, linguistic, cognitive, developmental, and phenomenological theories and observational, experimental, corpus linguistic, ethnographic, and computational methods. It also contains practical guidelines for gesture analysis along with surveys of empirical research. Wide ranging yet accessible, it is essential reading for academic researchers and students in linguistics and cognitive sciences.","<a href=""https://openalex.org/W4396559134"" target=""_blank"">OpenAlex</a>","Alan Cienki, Alan Cienki, Lluís Payrató, Silva H. Ladewig, Irene Mittelberg, Ellen Fricke, Nicole Chovil, Adam Kendon, Jana Bressem, F. Max Müller, Geneviève Calbris, Екатерина Рахилина, Dominique Boutet, James P. Trujillo, Przemysław Żywiczyński, Aliyah Morgenstern, Marianne Gullberg, Sherman Wilcox, Simon M. Harrison",TU Chemnitz,Vrije Universiteit Amsterdam,No,Hearing Impairment and Communication,Yes
Jana Bressem,2018.0,book-chapter,Ways of expressing action in multimodal narrations – the semiotic complexity of character viewpoint depictions,"Based on an analysis accounting for the whole body as a possible articulator in the depiction of actions, this chapter argues for an expansion of the notion of ‘character viewpoint gestures’ to a notion of ‘multimodal action depiction from a character viewpoint’. Our study shows that speakers may deploy only single articulators, providing a semantically reduced depiction of the action, or they may deploy more bodily articulators and give a semantically rich picture of the event narrated. Our findings suggest a continuum of semiotic complexity, capturing the range of bodily involvement from less pantomimic (single articulators involved) to pantomimic depictions (more articulators involved) of actions. The paper closes by discussing our observations with respect to the notion of ‘constructed action’ and ‘role shift’ in sign languages and by giving some general remarks on the multimodal analysis of narrations.","<a href=""https://openalex.org/W2800960359"" target=""_blank"">OpenAlex</a>","Jana Bressem, Silva H. Ladewig, F. Max Müller",TU Chemnitz,"Chemnitz University of Technology, European University Viadrina, European University Viadrina",No,"Language, Metaphor, and Cognition",Yes
Jana Bressem,2021.0,book,Repetitions in Gesture,"Repetitive sequences play a major role as a pattern-building device and are a basic syntagmatic linguistic means on all language levels in spoken and signed languages. Little attention has been paid to investigating them in multimodal language use. Do gestures exhibit different types of repetitive sequences? Do they build complex units based on these types and if so, how is the pattern building to be described? How is the interrelation of gestural and spoken units in such complex units? Is it possible to identify repetitive patterns that are comparable to spoken and signed languages and/or patterns specific to the gestural modality? Based on a corpus-analysis of multimodal usage-events, 7 chapters explore gestural repetitions with regard to their structure, semantic and syntactic relevance for multimodal utterances, and cognitive saliency. Fine-grained cognitive-linguistic analyses of multimodal usage events reveal that gestural repetitions are not only a basic principle of building patterns in spoken and signed languages, but also in gestures. By addressing questions of mediality and multimodality of language-in-use, the book contributes to the investigation of repetition as a fundamental means of sign and meaning construction (crosscutting modalities) and enhances the understanding of the multimodal character of language in use.","<a href=""https://openalex.org/W3211879538"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,,No,Hearing Impairment and Communication,Yes
Jana Bressem,2021.0,article,Handling talk,"This paper discusses how a particular type of recurrent gesture, the holding away gesture, highlights and structures spoken utterances in German and Savosavo, a Papuan language spoken in Solomon Islands in the Southwest Pacific. In particular, the paper poses the following questions: What kinds of discursive functions of this gesture are observable in these speech communities? How do they map onto the two speech communities? Are there cross-linguistic similarities and differences detectable? What motivates similarity and variation across speech communities? Utilizing Fraser’s (1999) pragmatic classification of discourse markers, it is shown that the holding away gesture shows the connection of topics and messages. For both languages, we explore the functional diversity of the gesture. Some functions are found in both data sets, though the proportions differ, while others are exclusively found in one or the other. Finally, we discuss how differences in discourse type and interactional setting may facilitate specific forms and uses of the holding away gesture.","<a href=""https://openalex.org/W4285313740"" target=""_blank"">OpenAlex</a>","Jana Bressem, Claudia Wegener",TU Chemnitz,"Chemnitz University of Technology, University of Cologne",No,Hearing Impairment and Communication,Yes
Jana Bressem,2024.0,book-chapter,Gesture as a means for communicating and understanding embodied conceptualizations in second language interactions,"Gestural practices can reveal the state and acquisition of a second language in learners and can help them understand and learn new vocabulary knowledge. Using videographic data documenting language acquisition in German L2 classes, we analyze classroom interaction between teachers and learners in vocabulary teaching sessions. Our qualitative analyses reveal that gestures may be a means of communicating, understanding, and acquiring embodied conceptualizations and a source of misunderstanding. Our results highlight that gestures make meaning graspable due to their sensorimotor experiences. Concluding, we discuss some (practical) consequences for instructing German as a foreign and/or second language.","<a href=""https://openalex.org/W4392987544"" target=""_blank"">OpenAlex</a>","Silva H. Ladewig, Jana Bressem",TU Chemnitz,,No,"Language, Metaphor, and Cognition",Yes
Jana Bressem,2024.0,book-chapter,Systems of Gesture Coding and Annotation,Abstract not available,"<a href=""https://openalex.org/W4396558920"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,,No,Hearing Impairment and Communication,Yes
Jana Bressem,2021.0,book,Repetitions in Gesture : A Cognitive-Linguistic and Usage-Based Perspective,Abstract not available,"<a href=""https://openalex.org/W3194558004"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,,No,Hearing Impairment and Communication,Yes
Jana Bressem,2021.0,article,The diversity of recurrency,Abstract not available,"<a href=""https://openalex.org/W4285312050"" target=""_blank"">OpenAlex</a>","Simon Harrison, Silva H. Ladewig, Jana Bressem",TU Chemnitz,"City University of Hong Kong, European University Viadrina, Chemnitz University of Technology",No,Hearing Impairment and Communication,Yes
Jana Bressem,2018.0,book-chapter,3. Zur Theorie der Cinematic Metaphor,"EinleitungTheoretisch präzisieren lässt sich der Terminus ‚multidimensionale Erfahrungsgestalt' im Begriff der Ausdrucksbewegung.Scheint es doch einigermaßen evident, dass die grundlegende Verknüpfung des Intervalls kooperativer Interaktion ihren Ausgang nicht in sprachlichen, sondern gestischen Ausdrucksformen körperlicher Interaktion nimmt: nämlich in der Wahrnehmung motorischer Abläufe des anderen Körpers und der Fähigkeit, diese Abläufe perspektivisch auf den Aktionsradius des eigenen Körpers zu beziehen.Die Wahrnehmung der Aktion des Anderen kann so zur initiierenden Expression werden, die das Intervall von (Re-)Perzeption, Aktion und motorischer Umsetzung in Gang setzt.1 ‚Ausdrucksbewegung' meint genau solche initiierenden Expressionen, seien diese nun lautlich oder motorisch vollzogen.Sie sind zwar intentional gerichtet; und doch haben sie per se keinen zeichenhaften Charakter.Man kann sie sehr wohl (motorisch oder lautlich ausgeführte) Gesten nennen; muss dann aber strikt zwischen gestischen Zeichen und gestischen","<a href=""https://openalex.org/W4233498539"" target=""_blank"">OpenAlex</a>","Jan-Hendrik Bakels, Hye-Jeung Chung, David Gaertner, Sarah Greifenstein, Matthias Grotkopp, G. Flucke, Christian Pischel, Fran- Ziska Seewald, Anna Steininger, Hermann Kappelhoff, Tobias Haupts, Danny Gronmaier, Cilli Po- Godda, Eileen Rositzka, Christina Schmitt, F. Max Müller, Alan Cienki, Ellen Fricke, Silva H. Ladewig, David McNeill, Jana Bressem",TU Chemnitz,,No,Narrative Theory and Analysis,Yes
Jana Bressem,2019.0,article,Book review,Abstract not available,"<a href=""https://openalex.org/W2962721316"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,Chemnitz University of Technology,No,Hearing Impairment and Communication,Yes
Jana Bressem,2021.0,book-chapter,3 Repeating gestures: Building (complex) units,Abstract not available,"<a href=""https://openalex.org/W4212836712"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,,No,Hearing Impairment and Communication,Yes
Jana Bressem,2021.0,book-chapter,A Notation conventions,Abstract not available,"<a href=""https://openalex.org/W4212874257"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,,No,Topic not available,Yes
Jana Bressem,2021.0,book-chapter,7 Closing the stage,Abstract not available,"<a href=""https://openalex.org/W4212944366"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,,No,Topic not available,Yes
Jana Bressem,2021.0,book-chapter,1 Setting the stage: Gestural repetitions in a multimodal corpus,Abstract not available,"<a href=""https://openalex.org/W4213059548"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,,No,Translation Studies and Practices,Yes
Jana Bressem,2021.0,book-chapter,5 Multimodal utterances II: Repetitive gestures interacting with the syntax of speech,Abstract not available,"<a href=""https://openalex.org/W4213166112"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,,No,"Language, Metaphor, and Cognition",Yes
Jana Bressem,2021.0,book-chapter,6 Cognitive functions of repetitive sequences: Attention and salience,Abstract not available,"<a href=""https://openalex.org/W4213227977"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,,No,"Categorization, perception, and language",Yes
Jana Bressem,2021.0,book-chapter,4 Multimodal utterances I: Repetitive gestures affecting the semantics of speech,Abstract not available,"<a href=""https://openalex.org/W4213283558"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,,No,"Language, Metaphor, and Cognition",Yes
Jana Bressem,2021.0,book-chapter,B Description of gestural form features,Abstract not available,"<a href=""https://openalex.org/W4213306385"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,,No,Hand Gesture Recognition Systems,Yes
Jana Bressem,2021.0,book-chapter,2 Building patterns in spoken and visual modalities,Abstract not available,"<a href=""https://openalex.org/W4213357591"" target=""_blank"">OpenAlex</a>",Jana Bressem,TU Chemnitz,,No,"Categorization, perception, and language",Yes
Ingmar Brilmayer,2018.0,article,The exceptional nature of the first person in natural story processing and the transfer of egocentricity,"Human language enables us to externalise self-internal information (e.g. emotions or beliefs that are not readily accessible to others). Thus, language bridges the gap between the self and the other (e.g. Frith and Frith, 2010) in a way that possibly no other communication system can provide. In many languages, the difference between the self and others is directly reflected in the distinction between first (""I""), second (""you"") and third person (""he, she"") marking. In the present study, we compared ERPs to first, second and third person pronouns during the comprehension of an audio-book version of The Little Prince. Our results revealed a strong P300 response following first person pronouns that is independent of contextual factors. In line with previous research on self-relevance and the P300 (e.g. Knolle, Schröger, and Kotz, 2013b), our results suggest that first-person marking is an attentional cue for self-relevance that is at the core of successful narrative comprehension.","<a href=""https://openalex.org/W2899825144"" target=""_blank"">OpenAlex</a>","Ingmar Brilmayer, A. V. Werner, Beatrice Primus, Ina Bornkessel‐Schlesewsky, Matthias Schlesewsky",University of Cologne,"University of Cologne, Johannes Gutenberg University Mainz, University of Cologne, University of South Australia, University of South Australia",Yes,"Language, Metaphor, and Cognition",No
Ingmar Brilmayer,2023.0,book-chapter,A Roadmap for Technological Innovation in Multimodal Communication Research,Abstract not available,"<a href=""https://openalex.org/W4383755750"" target=""_blank"">OpenAlex</a>","Alina Gregori, Federica Amici, Ingmar Brilmayer, Aleksandra Ćwiek, L. Fritzsche, Susanne Fuchs, Alexander Henlein, Oliver Herbort, Frank Kügler, Jens Lemanski, Katja Liebal, Andy Lücking, Alexander Mehler, Kim Tien Nguyen, Wim Pouw, Pilar Prieto, Patrick Louis Rohrer, Paula G. Sánchez-Ramón, Martin Schulte‐Rüther, Petra B. Schumacher, Stefan R. Schweinberger, Volker Struckmeier, Patrick C. Trettenbrein, Celina I. von Eiff",University of Cologne,"Goethe University Frankfurt, Leipzig University, University of Cologne, Leibniz-Centre General Linguistics, Goethe University Frankfurt, Leibniz-Centre General Linguistics, Goethe University Frankfurt, University of Würzburg, Goethe University Frankfurt, Leipzig University, Goethe University Frankfurt, Goethe University Frankfurt, Goethe University Frankfurt, Radboud University Nijmegen, Institució Catalana de Recerca i Estudis Avançats, Pompeu Fabra University, Pompeu Fabra University, Universitätsmedizin Göttingen, University of Cologne, Friedrich Schiller University Jena, Goethe University Frankfurt, Max Planck Institute for Human Cognitive and Brain Sciences, Friedrich Schiller University Jena",Yes,Hearing Impairment and Communication,No
Ingmar Brilmayer,2021.0,article,Referential Chains Reveal Predictive Processes and Form-to-Function Mapping: An Electroencephalographic Study Using Naturalistic Story Stimuli,"In discourse pragmatics, different referential forms are claimed to be indicative of the cognitive status of a referent in the current discourse. Referential expressions thereby possess a double function: They point back to an (existing) referent (form-to-function mapping), and they are used to derive predictions about a referent’s subsequent recurrence in discourse. Existing event-related potential (ERP) research has mainly focused on the form-to-function mapping of referential expression. In the present ERP study, we explore the relationship of form-to-function mapping and prediction derived from the antecedent of referential expressions in naturalistic auditory language comprehension. Specifically, the study investigates the relationship between the form of a referential expression (pronoun vs. noun) and the form of its antecedent (pronoun vs. noun); i.e., it examines the influence of the interplay of predictions derived from an antecedent (forward-looking function) and the form-to-function mapping of an anaphor (backward-looking function) on the ERPs time-locked to anaphoric expressions. The results in the time range of the P300 and N400 allow for a dissociation of these two functions during online language comprehension.","<a href=""https://openalex.org/W3194595091"" target=""_blank"">OpenAlex</a>","Ingmar Brilmayer, Petra B. Schumacher",University of Cologne,"University of Cologne, University of Cologne",Yes,"Language, Metaphor, and Cognition",No
Ingmar Brilmayer,2023.0,article,Tracking meaning evolution in the brain: Processing consequences of conventionalization,Abstract not available,"<a href=""https://openalex.org/W4386006951"" target=""_blank"">OpenAlex</a>","Petra B. Schumacher, Hanna Weiland-Breckle, Guendalina Reul, Ingmar Brilmayer",University of Cologne,"University of Cologne, Stuttgart University of Applied Sciences, University of Cologne, University of Cologne, University of Cologne",Yes,"Language, Metaphor, and Cognition",No
Ingmar Brilmayer,2020.0,article,Attention allocation in a language with post-focal prominences,"entuation influences selective attention and the depth of semantic processing during online speech comprehension. We investigated the processing of semantically congruent and incongruent words in a language that presents cues to prosodic prominences in the region of the utterance occurring after the focussed information (the post-focal region). This language is Italian, in particular the variety spoken in Bari. In this variety, questions have a compressed, post-focal accent, whereas in statements there is a low-level pitch in this position. Using event-related potentials, we investigated the processing of congruent and incongruent target words with two prosodic realizations (focussed with accentuation, post-focal realization) and in two-sentence modalities (statement, question). Results indicate an N400 congruence effect that was modulated by position (focal, post-focal) and modality (statement, question): processing was deeper for questions in narrow focus than in post-focal position, while statements showed similar pronounced N400 effects across positions. The attenuated N400 difference for post-focal targets in questions was accompanied by a more enhanced late positivity when they were incongruent, indicating that attentional resources are allocated during updating of speech act information.","<a href=""https://openalex.org/W3018088762"" target=""_blank"">OpenAlex</a>","Caterina Ventura, Martine Grice, Michelina Savino, Diana Kolev, Ingmar Brilmayer, Petra B. Schumacher",University of Cologne,"GTx (United States), University of Cologne, University of Bari Aldo Moro",Yes,Neurobiology of Language and Bilingualism,No
Ingmar Brilmayer,2020.0,article,Signal-driven and expectation-driven processing of accent types,"This paper investigates neurophysiological correlates of prosodic prominence in German with two EEG experiments. Experiment 1 tested different degrees of prominence (three accent types: L+H*, H*, H+L* and deaccentuation) in the absence of context, making the acoustic signal the only source for attention orienting. Experiment 2 tested L+H* and H+L* accents in relation to contexts such as ""Guess what happened today"" triggering expectations as to how exciting the following utterance will be. Results reveal that prominence cues that attract attention, such as a signal-driven high level of prosodic prominence or a content-driven expression of excitement, engender positivities of varying latency. Furthermore, contextual expectations trigger prediction errors, e.g. deviations from an appropriate level of prosodic prominence result in a negative ERP deflection. Hence, the data suggest that the two core processes – attentional orientation and predictive processing – reflect discrete stages in the construction of a mental representation during real-time comprehension.","<a href=""https://openalex.org/W3037115943"" target=""_blank"">OpenAlex</a>","Christine Tanja Röhr, Ingmar Brilmayer, Stefan Baumann, Martine Grice, Petra B. Schumacher",University of Cologne,"University of Cologne, University of Cologne, University of Cologne, University of Cologne, University of Cologne",Yes,Neurobiology of Language and Bilingualism,No
Ingmar Brilmayer,2020.0,article,Zooming in on agentivity: Experimental studies of DO-clefts in German,"Despite the importance of the agent role for language grammar and processing, its definition and features are still controversially discussed in the literature on semantic roles. Moreover, diagnostic tests to dissociate agentive from non-agentive roles are typically applied with qualitative introspection data. We investigated whether quantitative acceptability ratings obtained with a well-established agentivity test, the DO-cleft, provide evidence for the feature-based prototype account of (Dowty, David R. 1991. Thematic proto-roles and argument selction. Language 67(3). 547–619) postulating that agentivity increases with the number of agentive features that a role subsumes. We used four different intransitive verb classes in German and collected acceptability judgements from non-expert native speakers of German. Our results show that sentence acceptability increases linearly with the number of agentive features and, hence, agentivity. Moreover, our findings confirm that sentience belongs to the group of proto-agent features. In summary, this suggests that a multidimensional account including a specific mechanism for role prototypicality (feature accumulation) successfully captures gradient acceptability clines. Quantitative acceptability estimates are a meaningful addition to linguistic theorizing.","<a href=""https://openalex.org/W3110008930"" target=""_blank"">OpenAlex</a>","Franziska Kretzschmar, Ingmar Brilmayer",University of Cologne,"University of Cologne, University of Cologne",Yes,Natural Language Processing Techniques,No
Ingmar Brilmayer,2023.0,preprint,Tracking meaning evolution in the brain: Processing consequences of conventionalization,"Language users employ creative and innovative means to refer to novel concepts. One example is place-for-event metonymy as in “How many bands played at Woodstock?” where the place name is used to refer to an event. We capitalize on the observation that place-for-event metonymy can on the one hand result in the conventionalization of the event reading (as is the case for “Woodstock”) but on the other hand can also be relatively short-lived as a function of the socio-cultural or historical impact of the respective event (e.g., “Egypt” to refer to one of the sites of the Arab Spring). We use place-for-event metonymy as a test case to tap into discrete stages of conventionalization and compare the processing of the place and the event reading of particular expressions, with ratings of the degree of conventionalization as predictors. In an event-related potential (ERP) reading study, we observed a modulation of the Late Positivity between 500-750 ms post-onset by condition (event vs. place reading) and degree of conventionalization. The amplitude of the positivity was most pronounced for event readings with a low degree of conventionalization (similar to previous findings from ad-hoc metonymy). Interestingly, place readings with a high degree of (event) conventionalization also evoked a pronounced positivity. The Late Positivity is viewed to reflect processing demands during reconceptualization required for proper utterance interpretation. Overall, the data suggest that stages of meaning evolution are reflected in the underlying neurophysiological processes.","<a href=""https://openalex.org/W4376114142"" target=""_blank"">OpenAlex</a>","Petra B. Schumacher, Hanna Weiland-Breckle, Guendalina Reul, Ingmar Brilmayer",University of Cologne,"University of Cologne, Stuttgart University of Applied Sciences, University of Cologne, University of Cologne, University of Cologne",Yes,"Language, Metaphor, and Cognition",No
Ingmar Brilmayer,2023.0,editorial,"Editorial: Variability in language predictions: assessing the influence of speaker, text and experimental method","EDITORIAL article Front. Commun., 22 May 2023Sec. Psychology of Language Volume 8 - 2023 | https://doi.org/10.3389/fcomm.2023.1216399","<a href=""https://openalex.org/W4377293328"" target=""_blank"">OpenAlex</a>","Franziska Kretzschmar, Phillip M. Alday, Martine Grice, Ingmar Brilmayer",University of Cologne,"Leibniz Institute for the German Language, Max Planck Institute for Psycholinguistics, University of Cologne, University of Cologne",Yes,Neurobiology of Language and Bilingualism,No
Ingmar Brilmayer,2019.0,article,Beyond phrase structure: An alternative analysis of Brennan and Hale (2019) using a dependency parser,Abstract not available,"<a href=""https://openalex.org/W2963917886"" target=""_blank"">OpenAlex</a>","Phillip M. Alday, Ingmar Brilmayer",University of Cologne,"Max Planck Society, Max Planck Institute for Psycholinguistics",No,Natural Language Processing Techniques,Yes
Yuqiu Chen,2023.0,article,Controllable synthesis of porous carbon@Fe20Ni80 composites with improved microwave absorption performance,Abstract not available,"<a href=""https://openalex.org/W4362465221"" target=""_blank"">OpenAlex</a>","Zhangtao Shen, Yapei Zu, Song Ma, Yuqiu Chen, Zhidong Zhang, Jun Gong, Chao Sun",University of Göttingen,"Chinese Academy of Sciences, University of Science and Technology of China, Chinese Academy of Sciences, Chinese Academy of Sciences, Chinese Academy of Sciences, Chinese Academy of Sciences, Chinese Academy of Sciences, Chinese Academy of Sciences",No,Electromagnetic wave absorption materials,Yes
Yuqiu Chen,2023.0,article,Fluorescence‐Amplified Origami Microneedle Device for Quantitatively Monitoring Blood Glucose,"Exploration of clinically acceptable blood glucose monitors has been engaging in the past decades, yet the ability to quantitatively detect blood glucose in a painless, accurate, and highly sensitive manner remains limited. Herein, a fluorescence-amplified origami microneedle (FAOM) device is described that integrates tubular DNA-origami nanostructures and glucose oxidase molecules into its inner network to quantitatively monitor blood glucose. The skin-attached FAOM device can collect glucose molecules in situ and transfer the input into a proton signal after the oxidase's catalysis. The proton-driven mechanical reconfiguration of DNA-origami tubes separates fluorescent molecules and their quenchers, eventually amplifying the glucose-correlated fluorescence signal. The function equation established on clinical examinees suggests that FAOM can report blood glucose in a highly sensitive and quantitative manner. In clinical blind tests, the FAOM achieves well-matched accuracy (98.70 ± 4.77%) compared with a commercial blood biochemical analyzer, fully meeting the requirements of accurate blood glucose monitoring. The FAOM device can be inserted into skin tissue in a trivially painful manner and with minimal leakage of DNA origami, substantially improving the tolerance and compliance of the blood glucose test.","<a href=""https://openalex.org/W4321499827"" target=""_blank"">OpenAlex</a>","Xianlei Li, Xuehui Xu, KeWei Wang, Yuqiu Chen, Yangyuchen Zhang, Qingrui Si, Zian Pan, Fan Jia, Xinyue Cui, Xuan Wang, Xiongwei Deng, Yi Zhao, Dan Shu, Qiao Jiang, Baoquan Ding, Yan Wu, Ran Liu",University of Göttingen,"Chinese Academy of Sciences, University of Chinese Academy of Sciences, National Center for Nanoscience and Technology, Tsinghua University, Chinese Academy of Sciences, University of Chinese Academy of Sciences, National Center for Nanoscience and Technology, Tsinghua University, Tsinghua University, Tsinghua University, Tsinghua University, University of Chinese Academy of Sciences, National Center for Nanoscience and Technology, Chinese Academy of Sciences, Chinese Academy of Sciences, University of Chinese Academy of Sciences, National Center for Nanoscience and Technology, National Center for Nanoscience and Technology, Chinese Academy of Sciences, National Center for Nanoscience and Technology, Chinese Academy of Sciences, University of Chinese Academy of Sciences, National Center for Nanoscience and Technology, Chinese Academy of Sciences, Tsinghua University, Beijing Tsinghua Chang Gung Hospital, Tsinghua University, Beijing Tsinghua Chang Gung Hospital, National Center for Nanoscience and Technology, Chinese Academy of Sciences, University of Chinese Academy of Sciences, National Center for Nanoscience and Technology, Chinese Academy of Sciences, Zhengzhou University, University of Chinese Academy of Sciences, National Center for Nanoscience and Technology, Chinese Academy of Sciences, University of Chinese Academy of Sciences, Tsinghua University",No,Lipid Membrane Structure and Behavior,Yes
Yuqiu Chen,2023.0,article,Natural gas sweetening using tailored ionic liquid-methanol mixed solvent with selective removal of H2S and CO2,"Natural gas is often preferred in various energy applications due to its many advantages over conventional fossil fuels such as oil and coal. However, the removal of pollutants from natural gas, particularly hydrogen sulfide (H2S) and carbon dioxide (CO2), requires complex treatment strategies, significantly impacting the cost of natural gas production. In this work, we propose a mixed solvent combining ionic liquid (IL) and methanol, which can selectively and simultaneously remove H2S and CO2 by customizing the IL structure and its ratio in the solvent. This purification process offers improved efficiency and energy savings compared to traditional methods. To determine the optimal IL structure in the mixed solvent, a computer-aided design method was employed. Through solving the formulated MINLP problem, the IL 1-methyl pyridinium trifluoroacetate ([C1OHPy][TFA]) was identified as having the highest affinity for H2S, making it suitable for use in the IL-methanol mixed solvent. Furthermore, the upgrading process of high-sulfur natural gas using the IL-methanol mixed solvent was simulated and evaluated, comparing it to the benchmark natural gas upgrading (Rectisol) process. The results demonstrate that the IL-methanol mixed solvent natural gas upgrading process achieved a 55.57 % power savings and reduced the annual total cost (TAC) by 23.90 % compared to the Rectisol process. These findings highlight the significant potential of our tailored IL-methanol mixed solvent in natural gas production.","<a href=""https://openalex.org/W4387359069"" target=""_blank"">OpenAlex</a>","Yang Lei, Lei Du, Xinyan Liu, Haoshui Yu, Xiaodong Liang, Georgios M. Kontogeorgis, Yuqiu Chen",University of Göttingen,"Wuhan University of Science and Technology, Wuhan University of Science and Technology, Wuhan University of Science and Technology, Aalborg University, Technical University of Denmark, Technical University of Denmark, Technical University of Denmark",No,Carbon Dioxide Capture Technologies,Yes
