Researcher_A,Researcher_B,Shared_synergies_count,Shared_synergies
Emiliano Zaccarella,Jens Lemanski,3,eeg; linear mixed-effects models; neural networks
Emiliano Zaccarella,Markus Steinbach,3,eeg; fmri; linear mixed-effects models
Emiliano Zaccarella,Martin Schulte-Rüther,3,cognitive neuroscience; fmri paradigm; neuroimaging research
Emiliano Zaccarella,Rui Liu,3,cognitive processes; fmri; neural mechanisms
Emiliano Zaccarella,Silva Ladewig,3,cognitive processes; eeg; linear mixed-effects models
Emiliano Zaccarella,Aleksandra Ćwiek,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Anna Kuder,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Cornelia Ebert,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Cornelia Loos,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Frank Kügler,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Ingmar Brilmayer,2,linear mixed-effects models; neurobiology of language
Emiliano Zaccarella,Katja Liebal,2,cognitive neuroscience; linear mixed-effects models
Emiliano Zaccarella,Lea Fricke,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Linda Oña,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Marianthi Koraka,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Marion Bonnet,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Nadine Bade,2,linear mixed-effects models; neurobiology of language
Emiliano Zaccarella,Oliver Herbort,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Pamela Perniss,2,cognitive abilities; linear mixed-effects models
Emiliano Zaccarella,Patrick Georg Grosz,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Sarah Schwarzenberg,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Sebastian Walter,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Susan Goldin-Meadow,2,cognitive neuroscience; eeg
Emiliano Zaccarella,Thomas Finkbeiner,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Vinicius Macuch,2,linear mixed-effects models; neurobiology of language
Emiliano Zaccarella,Yuqiu Chen,2,eeg; linear mixed-effects models
Emiliano Zaccarella,Annika Herrmann,1,linear mixed-effects models
Emiliano Zaccarella,Babajide Owoyele,1,linear mixed-effects models
Emiliano Zaccarella,Carly A. Anderson,1,eeg
Emiliano Zaccarella,Celina Isabelle von Eiff,1,cognitive neuroscience
Emiliano Zaccarella,Christian Dobel,1,linear mixed-effects models
Emiliano Zaccarella,Jana Bressem,1,eeg
Emiliano Zaccarella,Kathryn Barnes,1,linear mixed-effects models
Emiliano Zaccarella,Mailin Ines Antomo,1,linear mixed-effects models
Emiliano Zaccarella,Paula G. Sánchez Ramón,1,linear mixed-effects models
Emiliano Zaccarella,Petra Schumacher,1,linear mixed-effects models
Emiliano Zaccarella,Philippe Schlenker,1,linear mixed-effects models
Emiliano Zaccarella,Pia Gehlbach,1,eeg
Emiliano Zaccarella,Pilar Prieto,1,linear mixed-effects models
Emiliano Zaccarella,Stefan Hinterwimmer,1,neurobiology of language
Emiliano Zaccarella,Susanne Fuchs,1,neurobiology of language
Emiliano Zaccarella,Vera Wolfrum,1,linear mixed-effects models
Emiliano Zaccarella,Wim Pouw,1,linear mixed-effects models
Federica Amici,Katja Liebal,4,cognitive mechanisms; conflict resolution; experimental studies; gestural communication
Federica Amici,Stefan R. Schweinberger,3,experimental design; experimental paradigms; experimental procedures
Federica Amici,Chiara Zulberti,2,cognitive mechanisms; gestural communication
Federica Amici,Ingmar Brilmayer,2,experimental design; experimental studies
Federica Amici,Nina-Kristin Meister,2,social development; social interaction
Federica Amici,Pamela Perniss,2,cognitive mechanisms; experimental design
Federica Amici,Stefan Hinterwimmer,2,cognitive mechanisms; social interaction
Federica Amici,Camila Antonio Barros,1,experimental paradigms
Federica Amici,Carina Lüke,1,social development
Federica Amici,Cornelia Loos,1,cognitive mechanisms
Federica Amici,Lea Fricke,1,experimental evidence
Federica Amici,Linda Oña,1,primate communication
Federica Amici,Nadine Bade,1,experimental studies
Federica Amici,Patrick Georg Grosz,1,gestural communication
Federica Amici,Philippe Schlenker,1,experimental studies
Federica Amici,Sarah Schwarzenberg,1,experimental methods
Federica Amici,Silva Ladewig,1,experimental methods
Federica Amici,Simone Schäffner,1,experimental psychology
Federica Amici,Sotaro Kita,1,experimental research
Federica Amici,Vinicius Macuch,1,experimental evidence
Frank Kügler,Aleksandra Ćwiek,6,cognitive science; data analysis methods; eeg; linear mixed-effects models; mri; multimodal communication
Frank Kügler,Marion Bonnet,6,cognitive science; data analysis methods; eeg; linear mixed-effects models; mri; multimodal communication
Frank Kügler,Patrick Georg Grosz,5,bayesian statistics; cognitive science; eeg; linear mixed-effects models; mri
Frank Kügler,Petra Schumacher,5,data analysis methods; linear mixed-effects models; mri; multimodal communication; prosodic structure
Frank Kügler,Sebastian Walter,5,cognitive science; data analysis methods; eeg; linear mixed-effects models; mri
Frank Kügler,Katja Liebal,4,bayesian statistics; data analysis methods; linear mixed-effects models; mri
Frank Kügler,Linda Oña,4,data analysis methods; eeg; linear mixed-effects models; mri
Frank Kügler,Markus Steinbach,4,cognitive science; data analysis methods; eeg; linear mixed-effects models
Frank Kügler,Matteo Maran,4,data analysis methods; eeg; linear mixed-effects models; mri
Frank Kügler,Nina-Kristin Meister,4,cognitive science; data analysis methods; mri; multimodal communication
Frank Kügler,Oliver Herbort,4,eeg; linear mixed-effects models; mri; multimodal communication
Frank Kügler,Pamela Perniss,4,bayesian statistics; data analysis methods; linear mixed-effects models; multimodal communication
Frank Kügler,Patrick Trettenbrein,4,eeg; linear mixed-effects models; mri; multimodal communication
Frank Kügler,Paula G. Sánchez Ramón,4,language studies; linear mixed-effects models; mri; multimodal communication
Frank Kügler,Silva Ladewig,4,eeg; linear mixed-effects models; mri; multimodal communication
Frank Kügler,Thomas Finkbeiner,4,data analysis methods; eeg; linear mixed-effects models; mri
Frank Kügler,Vinicius Macuch,4,bayesian statistics; data analysis methods; linear mixed-effects models; multimodal communication
Frank Kügler,Anna Kuder,3,eeg; linear mixed-effects models; mri
Frank Kügler,Babajide Owoyele,3,bayesian statistics; data analysis methods; linear mixed-effects models
Frank Kügler,Carly A. Anderson,3,data analysis methods; eeg; mri
Frank Kügler,Cornelia Ebert,3,eeg; linear mixed-effects models; mri
Frank Kügler,Cornelia Loos,3,eeg; linear mixed-effects models; mri
Frank Kügler,Jana Bressem,3,eeg; mri; multimodal communication
Frank Kügler,Jens Lemanski,3,cognitive science; eeg; linear mixed-effects models
Frank Kügler,Lea Fricke,3,eeg; linear mixed-effects models; mri
Frank Kügler,Marianthi Koraka,3,eeg; linear mixed-effects models; mri
Frank Kügler,Nadine Bade,3,cognitive science; data analysis methods; linear mixed-effects models
Frank Kügler,Philippe Schlenker,3,cognitive science; linear mixed-effects models; mri
Frank Kügler,Sarah Schwarzenberg,3,eeg; linear mixed-effects models; mri
Frank Kügler,Susan Goldin-Meadow,3,eeg; mri; multimodal communication
Frank Kügler,Volker Gast,3,bayesian statistics; cognitive science; mri
Frank Kügler,Wim Pouw,3,cognitive science; linear mixed-effects models; multimodal communication
Frank Kügler,Yuqiu Chen,3,eeg; linear mixed-effects models; mri
Frank Kügler,Andy Lücking,2,cognitive science; multimodal communication
Frank Kügler,Emiliano Zaccarella,2,eeg; linear mixed-effects models
Frank Kügler,Jonas Hartke,2,cognitive science; data analysis methods
Frank Kügler,Mailin Ines Antomo,2,linear mixed-effects models; mri
Frank Kügler,Pia Gehlbach,2,cognitive science; eeg
Frank Kügler,Pilar Prieto,2,linear mixed-effects models; multimodal communication
Frank Kügler,Sotaro Kita,2,bayesian statistics; data analysis methods
Frank Kügler,Stefan R. Schweinberger,2,cognitive science; data analysis methods
Frank Kügler,Vera Wolfrum,2,bayesian statistics; linear mixed-effects models
Frank Kügler,Šárka Kadavá,2,cognitive science; data analysis methods
Frank Kügler,Alexander Henlein,1,mri
Frank Kügler,Alexander Mehler,1,cognitive science
Frank Kügler,Alina Gregori,1,multimodal communication
Frank Kügler,Anastasia Bauer,1,cognitive science
Frank Kügler,Annika Herrmann,1,linear mixed-effects models
Frank Kügler,Carina Lüke,1,multimodal communication
Frank Kügler,Celina Isabelle von Eiff,1,multimodal communication
Frank Kügler,Christian Dobel,1,linear mixed-effects models
Frank Kügler,Door Spruijt,1,cognitive science
Frank Kügler,Ingmar Brilmayer,1,linear mixed-effects models
Frank Kügler,Kathryn Barnes,1,linear mixed-effects models
Frank Kügler,Natalia Filatkina,1,mri
Frank Kügler,Reetu Bhattacharjee,1,multimodal communication
Frank Kügler,Stefan Hinterwimmer,1,cognitive science
Frank Kügler,Susanne Fuchs,1,multimodal communication
Frank Kügler,Tatjana Scheffler,1,cognitive science
Frank Kügler,Valentina Colasanti,1,cognitive science
Frank Kügler,Vanessa Wing Yan Tsang,1,cognitive science
Ingmar Brilmayer,Philippe Schlenker,6,bayesian stats; eeg experiments; experimental studies; linear mixed-effects models; pragmatics; semantics
Ingmar Brilmayer,Vinicius Macuch,6,bilingualism; iconicity; language evolution; linear mixed-effects models; neurobiology of language
Ingmar Brilmayer,Kathryn Barnes,5,bayesian stats; iconicity; linear mixed-effects models; research themes; semantics
Ingmar Brilmayer,Lea Fricke,5,bayesian stats; iconicity; linear mixed-effects models; pragmatics; semantics
Ingmar Brilmayer,Matteo Maran,5,bayesian stats; language processing; linear mixed-effects models; neurobiology of language; psycholinguistics
Ingmar Brilmayer,Petra Schumacher,5,bilingualism; event-related potential (erp); iconicity; late positivity; linear mixed-effects models
Ingmar Brilmayer,Cornelia Ebert,4,bayesian stats; iconicity; linear mixed-effects models; semantics
Ingmar Brilmayer,Cornelia Loos,4,bayesian stats; iconicity; linear mixed-effects models; pragmatics
Ingmar Brilmayer,Marion Bonnet,4,bayesian stats; iconicity; linear mixed-effects models; research themes
Ingmar Brilmayer,Nadine Bade,4,bayesian stats; experimental studies; linear mixed-effects models; neurobiology of language
Ingmar Brilmayer,Pamela Perniss,4,experimental design; language processing; linear mixed-effects models; research themes
Ingmar Brilmayer,Patrick Trettenbrein,4,bayesian stats; bilingualism; linear mixed-effects models; neurobiology of language
Ingmar Brilmayer,Silva Ladewig,4,bayesian stats; iconicity; linear mixed-effects models; pragmatics
Ingmar Brilmayer,Stefan Hinterwimmer,4,iconicity; neurobiology of language; pragmatics; semantics
Ingmar Brilmayer,Aleksandra Ćwiek,3,iconicity; language evolution; linear mixed-effects models
Ingmar Brilmayer,Anna Kuder,3,bayesian stats; iconicity; linear mixed-effects models
Ingmar Brilmayer,Katja Liebal,3,experimental studies; language evolution; linear mixed-effects models
Ingmar Brilmayer,Mailin Ines Antomo,3,linear mixed-effects models; pragmatics; semantics
Ingmar Brilmayer,Marianthi Koraka,3,bayesian stats; iconicity; linear mixed-effects models
Ingmar Brilmayer,Oliver Herbort,3,bayesian stats; iconicity; linear mixed-effects models
Ingmar Brilmayer,Paula G. Sánchez Ramón,3,bayesian stats; eeg experiments; linear mixed-effects models
Ingmar Brilmayer,Sebastian Walter,3,bayesian stats; linear mixed-effects models; semantics
Ingmar Brilmayer,Thomas Finkbeiner,3,iconicity; linear mixed-effects models; semantics
Ingmar Brilmayer,Vera Wolfrum,3,eeg experiments; language processing; linear mixed-effects models
Ingmar Brilmayer,Yuqiu Chen,3,bayesian stats; iconicity; linear mixed-effects models
Ingmar Brilmayer,Alexander Henlein,2,multimodal communication; natural language processing techniques
Ingmar Brilmayer,Alexander Mehler,2,bayesian stats; language evolution
Ingmar Brilmayer,Anastasia Bauer,2,multimodal communication; research project
Ingmar Brilmayer,Annika Herrmann,2,iconicity; linear mixed-effects models
Ingmar Brilmayer,Babajide Owoyele,2,linear mixed-effects models; multimodal communication
Ingmar Brilmayer,Carina Lüke,2,language processing; research themes
Ingmar Brilmayer,Carly A. Anderson,2,bayesian stats; iconicity
Ingmar Brilmayer,Emiliano Zaccarella,2,linear mixed-effects models; neurobiology of language
Ingmar Brilmayer,Federica Amici,2,experimental design; experimental studies
Ingmar Brilmayer,Jana Bressem,2,bayesian stats; pragmatics
Ingmar Brilmayer,Jens Lemanski,2,bayesian stats; linear mixed-effects models
Ingmar Brilmayer,Jonas Hartke,2,pragmatics; semantics
Ingmar Brilmayer,Linda Oña,2,bayesian stats; linear mixed-effects models
Ingmar Brilmayer,Markus Steinbach,2,bayesian stats; linear mixed-effects models
Ingmar Brilmayer,Nina-Kristin Meister,2,iconicity; semantics
Ingmar Brilmayer,Pilar Prieto,2,iconicity; linear mixed-effects models
Ingmar Brilmayer,Sarah Schwarzenberg,2,iconicity; linear mixed-effects models
Ingmar Brilmayer,Sotaro Kita,2,eeg recordings; psycholinguistics
Ingmar Brilmayer,Stefan R. Schweinberger,2,experimental design; research themes
Ingmar Brilmayer,Susanne Fuchs,2,language evolution; neurobiology of language
Ingmar Brilmayer,Wim Pouw,2,bayesian stats; linear mixed-effects models
Ingmar Brilmayer,Chiara Zulberti,1,iconicity
Ingmar Brilmayer,Christian Dobel,1,linear mixed-effects models
Ingmar Brilmayer,Door Spruijt,1,language evolution
Ingmar Brilmayer,Frank Kügler,1,linear mixed-effects models
Ingmar Brilmayer,Josiah Nii Ashie Neequaye,1,linguistic processing
Ingmar Brilmayer,Liona Paulus,1,iconicity
Ingmar Brilmayer,Martin Schulte-Rüther,1,bayesian stats
Ingmar Brilmayer,Patrick Georg Grosz,1,linear mixed-effects models
Ingmar Brilmayer,Simone Schäffner,1,language processing
Ingmar Brilmayer,Susan Goldin-Meadow,1,bayesian stats
Ingmar Brilmayer,Tatjana Scheffler,1,natural language processing techniques
Ingmar Brilmayer,Valentina Colasanti,1,semantics
Ingmar Brilmayer,Vanessa Wing Yan Tsang,1,iconicity
Ingmar Brilmayer,Šárka Kadavá,1,iconicity
Jana Bressem,Silva Ladewig,13,bayesian stats; cognitive theories; cognitive-linguistic analyses; computational methods; developmental theories; eeg; gesture studies; language acquisition; mri; multimodal communication; observational methods; pragmatics; psychological processes
Jana Bressem,Cornelia Loos,6,bayesian stats; eeg; mri; pragmatics; production experiments
Jana Bressem,Marion Bonnet,6,bayesian stats; eeg; mri; multimodal communication; production experiments; sign language
Jana Bressem,Cornelia Ebert,5,bayesian stats; eeg; mri; production experiments; sign language
Jana Bressem,Mailin Ines Antomo,5,bayesian stats; eeg; mri; pragmatics; production experiments
Jana Bressem,Marianthi Koraka,5,bayesian stats; eeg; mri; sign language
Jana Bressem,Carly A. Anderson,4,bayesian stats; eeg; linear mixed-effects models; mri
Jana Bressem,Lea Fricke,4,bayesian stats; eeg; mri; pragmatics
Jana Bressem,Linda Oña,4,bayesian stats; eeg; mri; observational methods
Jana Bressem,Oliver Herbort,4,bayesian stats; eeg; mri; multimodal communication
Jana Bressem,Patrick Georg Grosz,4,eeg; mri; production experiments; sign language
Jana Bressem,Patrick Trettenbrein,4,bayesian stats; eeg; mri; multimodal communication
Jana Bressem,Paula G. Sánchez Ramón,4,bayesian stats; mri; multimodal communication; production experiments
Jana Bressem,Philippe Schlenker,4,bayesian stats; computational methods; mri; pragmatics
Jana Bressem,Pia Gehlbach,4,bayesian stats; eeg; linear mixed-effects models; mri
Jana Bressem,Susan Goldin-Meadow,4,bayesian stats; eeg; mri; multimodal communication
Jana Bressem,Yuqiu Chen,4,bayesian stats; eeg; language acquisition; mri
Jana Bressem,Aleksandra Ćwiek,3,eeg; mri; multimodal communication
Jana Bressem,Anna Kuder,3,bayesian stats; eeg; mri
Jana Bressem,Frank Kügler,3,eeg; mri; multimodal communication
Jana Bressem,Markus Steinbach,3,bayesian stats; eeg; production experiments
Jana Bressem,Matteo Maran,3,bayesian stats; eeg; mri
Jana Bressem,Nina-Kristin Meister,3,mri; multimodal communication; research projects
Jana Bressem,Petra Schumacher,3,language acquisition; mri; multimodal communication
Jana Bressem,Sarah Schwarzenberg,3,eeg; mri; production experiments
Jana Bressem,Sebastian Walter,3,bayesian stats; eeg; mri
Jana Bressem,Wim Pouw,3,bayesian stats; gesture studies; multimodal communication
Jana Bressem,Alexander Henlein,2,linear mixed-effects models; mri
Jana Bressem,Celina Isabelle von Eiff,2,language and cognition; multimodal communication
Jana Bressem,Ingmar Brilmayer,2,bayesian stats; pragmatics
Jana Bressem,Jens Lemanski,2,bayesian stats; eeg
Jana Bressem,Kathryn Barnes,2,bayesian stats; production experiments
Jana Bressem,Katja Liebal,2,mri; observational methods
Jana Bressem,Nadine Bade,2,bayesian stats; language acquisition
Jana Bressem,Pamela Perniss,2,gesture studies; multimodal communication
Jana Bressem,Pilar Prieto,2,language and cognition; multimodal communication
Jana Bressem,Thomas Finkbeiner,2,eeg; mri
Jana Bressem,Vinicius Macuch,2,corpus analysis; multimodal communication
Jana Bressem,Volker Gast,2,corpus analysis; mri
Jana Bressem,Alexander Mehler,1,bayesian stats
Jana Bressem,Alina Gregori,1,multimodal communication
Jana Bressem,Andrea Reichenberger,1,research projects
Jana Bressem,Andy Lücking,1,multimodal communication
Jana Bressem,Camila Antonio Barros,1,corpus analysis
Jana Bressem,Carina Lüke,1,multimodal communication
Jana Bressem,Chiara Zulberti,1,production experiments
Jana Bressem,Christian Dobel,1,linear mixed-effects models
Jana Bressem,Door Spruijt,1,research projects
Jana Bressem,Emiliano Zaccarella,1,eeg
Jana Bressem,Jonas Hartke,1,pragmatics
Jana Bressem,Liona Paulus,1,language acquisition
Jana Bressem,Martin Schulte-Rüther,1,bayesian stats
Jana Bressem,Natalia Filatkina,1,mri
Jana Bressem,Reetu Bhattacharjee,1,multimodal communication
Jana Bressem,Stefan Hinterwimmer,1,pragmatics
Jana Bressem,Susanne Fuchs,1,multimodal communication
Jana Bressem,Tatjana Scheffler,1,corpus analysis
Jana Bressem,Valentina Colasanti,1,language acquisition
Jana Bressem,Vanessa Wing Yan Tsang,1,sign language
Jana Bressem,Vera Wolfrum,1,production experiments
Jens Lemanski,Babajide Owoyele,4,artificial intelligence; data analytics; linear mixed-effects models; social science
Jens Lemanski,Marion Bonnet,4,bayesian stats; cognitive science; eeg; linear mixed-effects models
Jens Lemanski,Markus Steinbach,4,bayesian stats; cognitive science; eeg; linear mixed-effects models
Jens Lemanski,Nadine Bade,4,bayesian stats; cognitive science; linear mixed-effects models; semantics
Jens Lemanski,Patrick Georg Grosz,4,cognitive science; eeg; linear mixed-effects models; social science
Jens Lemanski,Patrick Trettenbrein,4,bayesian stats; eeg; language cognition; linear mixed-effects models
Jens Lemanski,Sebastian Walter,4,bayesian stats; cognitive science; eeg; linear mixed-effects models
Jens Lemanski,Wim Pouw,4,bayesian stats; cognitive science; linear mixed-effects models; neuroscience
Jens Lemanski,Aleksandra Ćwiek,3,cognitive science; eeg; linear mixed-effects models
Jens Lemanski,Alexander Mehler,3,bayesian stats; cognitive science; semantic web
Jens Lemanski,Anna Kuder,3,bayesian stats; eeg; linear mixed-effects models
Jens Lemanski,Cornelia Ebert,3,bayesian stats; eeg; linear mixed-effects models
Jens Lemanski,Cornelia Loos,3,bayesian stats; eeg; linear mixed-effects models
Jens Lemanski,Emiliano Zaccarella,3,eeg; linear mixed-effects models; neural networks
Jens Lemanski,Frank Kügler,3,cognitive science; eeg; linear mixed-effects models
Jens Lemanski,Lea Fricke,3,bayesian stats; eeg; linear mixed-effects models
Jens Lemanski,Linda Oña,3,bayesian stats; eeg; linear mixed-effects models
Jens Lemanski,Marianthi Koraka,3,bayesian stats; eeg; linear mixed-effects models
Jens Lemanski,Matteo Maran,3,bayesian stats; eeg; linear mixed-effects models
Jens Lemanski,Oliver Herbort,3,bayesian stats; eeg; linear mixed-effects models
Jens Lemanski,Philippe Schlenker,3,bayesian stats; cognitive science; linear mixed-effects models
Jens Lemanski,Silva Ladewig,3,bayesian stats; eeg; linear mixed-effects models
Jens Lemanski,Yuqiu Chen,3,bayesian stats; eeg; linear mixed-effects models
Jens Lemanski,Anastasia Bauer,2,cognitive science; social science
Jens Lemanski,Andy Lücking,2,cognitive science; semantics
Jens Lemanski,Carly A. Anderson,2,bayesian stats; eeg
Jens Lemanski,Ingmar Brilmayer,2,bayesian stats; linear mixed-effects models
Jens Lemanski,Jana Bressem,2,bayesian stats; eeg
Jens Lemanski,Jonas Hartke,2,cognitive science; social science
Jens Lemanski,Kathryn Barnes,2,bayesian stats; linear mixed-effects models
Jens Lemanski,Pamela Perniss,2,language cognition; linear mixed-effects models
Jens Lemanski,Paula G. Sánchez Ramón,2,bayesian stats; linear mixed-effects models
Jens Lemanski,Pia Gehlbach,2,cognitive science; eeg
Jens Lemanski,Sarah Schwarzenberg,2,eeg; linear mixed-effects models
Jens Lemanski,Stefan Hinterwimmer,2,cognitive science; social science
Jens Lemanski,Susan Goldin-Meadow,2,bayesian stats; eeg
Jens Lemanski,Tatjana Scheffler,2,cognitive science; social science
Jens Lemanski,Thomas Finkbeiner,2,eeg; linear mixed-effects models
Jens Lemanski,Andrea Reichenberger,1,history of science
Jens Lemanski,Annika Herrmann,1,linear mixed-effects models
Jens Lemanski,Celina Isabelle von Eiff,1,neuroscience
Jens Lemanski,Christian Dobel,1,linear mixed-effects models
Jens Lemanski,Door Spruijt,1,cognitive science
Jens Lemanski,Katja Liebal,1,linear mixed-effects models
Jens Lemanski,Mailin Ines Antomo,1,linear mixed-effects models
Jens Lemanski,Martin Schulte-Rüther,1,bayesian stats
Jens Lemanski,Nina-Kristin Meister,1,cognitive science
Jens Lemanski,Petra Schumacher,1,linear mixed-effects models
Jens Lemanski,Pilar Prieto,1,linear mixed-effects models
Jens Lemanski,Stefan R. Schweinberger,1,cognitive science
Jens Lemanski,Valentina Colasanti,1,cognitive science
Jens Lemanski,Vanessa Wing Yan Tsang,1,cognitive science
Jens Lemanski,Vera Wolfrum,1,linear mixed-effects models
Jens Lemanski,Vinicius Macuch,1,linear mixed-effects models
Jens Lemanski,Volker Gast,1,cognitive science
Jens Lemanski,Šárka Kadavá,1,cognitive science
Jonas Hartke,Nina-Kristin Meister,4,cognitive science; data analysis methods; linguistic research; semantics
Jonas Hartke,Stefan Hinterwimmer,4,cognitive science; pragmatics; semantics; social science
Jonas Hartke,Aleksandra Ćwiek,3,cognitive science; data analysis methods; research methods
Jonas Hartke,Babajide Owoyele,3,data analysis methods; research methods; social science
Jonas Hartke,Mailin Ines Antomo,3,gestures; pragmatics; semantics
Jonas Hartke,Philippe Schlenker,3,cognitive science; pragmatics; semantics
Jonas Hartke,Sebastian Walter,3,cognitive science; data analysis methods; semantics
Jonas Hartke,Stefan R. Schweinberger,3,cognitive science; data analysis methods; research methods
Jonas Hartke,Anastasia Bauer,2,cognitive science; social science
Jonas Hartke,Door Spruijt,2,cognitive science; research expertise
Jonas Hartke,Frank Kügler,2,cognitive science; data analysis methods
Jonas Hartke,Ingmar Brilmayer,2,pragmatics; semantics
Jonas Hartke,Jens Lemanski,2,cognitive science; social science
Jonas Hartke,Kathryn Barnes,2,gestures; semantics
Jonas Hartke,Lea Fricke,2,pragmatics; semantics
Jonas Hartke,Marion Bonnet,2,cognitive science; data analysis methods
Jonas Hartke,Markus Steinbach,2,cognitive science; data analysis methods
Jonas Hartke,Matteo Maran,2,data analysis methods; linguistic research
Jonas Hartke,Nadine Bade,2,cognitive science; data analysis methods
Jonas Hartke,Patrick Georg Grosz,2,cognitive science; social science
Jonas Hartke,Pia Gehlbach,2,cognitive science; linguistic research
Jonas Hartke,Tatjana Scheffler,2,cognitive science; social science
Jonas Hartke,Thomas Finkbeiner,2,data analysis methods; semantics
Jonas Hartke,Valentina Colasanti,2,cognitive science; semantics
Jonas Hartke,Vanessa Wing Yan Tsang,2,cognitive science; linguistic research
Jonas Hartke,Šárka Kadavá,2,cognitive science; data analysis methods
Jonas Hartke,Alexander Mehler,1,cognitive science
Jonas Hartke,Andy Lücking,1,cognitive science
Jonas Hartke,Anna Kuder,1,gestures
Jonas Hartke,Carly A. Anderson,1,data analysis methods
Jonas Hartke,Celina Isabelle von Eiff,1,linguistic research
Jonas Hartke,Cornelia Ebert,1,semantics
Jonas Hartke,Cornelia Loos,1,pragmatics
Jonas Hartke,Jana Bressem,1,pragmatics
Jonas Hartke,Josiah Nii Ashie Neequaye,1,linguistic research
Jonas Hartke,Katja Liebal,1,data analysis methods
Jonas Hartke,Linda Oña,1,data analysis methods
Jonas Hartke,Pamela Perniss,1,data analysis methods
Jonas Hartke,Petra Schumacher,1,data analysis methods
Jonas Hartke,Silva Ladewig,1,pragmatics
Jonas Hartke,Sotaro Kita,1,data analysis methods
Jonas Hartke,Vinicius Macuch,1,data analysis methods
Jonas Hartke,Volker Gast,1,cognitive science
Jonas Hartke,Wim Pouw,1,cognitive science
Jonas Hartke,Yuqiu Chen,1,gestures
Josiah Nii Ashie Neequaye,Vanessa Wing Yan Tsang,6,linguistic patterns; linguistic representation; linguistic research; linguistic structures; linguistic theory; linguistic variation
Josiah Nii Ashie Neequaye,Stefan Hinterwimmer,3,linguistic comparison; linguistic perception; linguistic theory
Josiah Nii Ashie Neequaye,Cornelia Ebert,2,co-speech gestures; ideophones
Josiah Nii Ashie Neequaye,Aleksandra Ćwiek,1,linguistic communication
Josiah Nii Ashie Neequaye,Andy Lücking,1,cognitive linguistics
Josiah Nii Ashie Neequaye,Celina Isabelle von Eiff,1,linguistic research
Josiah Nii Ashie Neequaye,Ingmar Brilmayer,1,linguistic processing
Josiah Nii Ashie Neequaye,Jonas Hartke,1,linguistic research
Josiah Nii Ashie Neequaye,Katja Liebal,1,linguistic development
Josiah Nii Ashie Neequaye,Lea Fricke,1,linguistic variation
Josiah Nii Ashie Neequaye,Markus Steinbach,1,linguistic variation
Josiah Nii Ashie Neequaye,Matteo Maran,1,linguistic research
Josiah Nii Ashie Neequaye,Nina-Kristin Meister,1,linguistic research
Josiah Nii Ashie Neequaye,Pia Gehlbach,1,linguistic research
Josiah Nii Ashie Neequaye,Silva Ladewig,1,sign language
Josiah Nii Ashie Neequaye,Volker Gast,1,linguistic diversity
Kathryn Barnes,Cornelia Ebert,7,at-issue status; bayesian stats; iconicity; linear mixed-effects models; pragmatic status; production experiments; semantics
Kathryn Barnes,Anna Kuder,5,bayesian stats; core expertise; gestures; iconicity; linear mixed-effects models
Kathryn Barnes,Ingmar Brilmayer,5,bayesian stats; iconicity; linear mixed-effects models; research themes; semantics
Kathryn Barnes,Mailin Ines Antomo,5,gestures; linear mixed-effects models; production experiments; question under discussion; semantics
Kathryn Barnes,Marion Bonnet,5,bayesian stats; iconicity; linear mixed-effects models; production experiments; research themes
Kathryn Barnes,Yuqiu Chen,5,bayesian stats; gestures; iconicity; linear mixed-effects models; question under discussion
Kathryn Barnes,Lea Fricke,4,bayesian stats; iconicity; linear mixed-effects models; semantics
Kathryn Barnes,Chiara Zulberti,3,core expertise; iconicity; production experiments
Kathryn Barnes,Cornelia Loos,3,bayesian stats; linear mixed-effects models; production experiments
Kathryn Barnes,Marianthi Koraka,3,bayesian stats; iconicity; linear mixed-effects models
Kathryn Barnes,Markus Steinbach,3,bayesian stats; linear mixed-effects models; production experiments
Kathryn Barnes,Matteo Maran,3,bayesian stats; core expertise; linear mixed-effects models
Kathryn Barnes,Nina-Kristin Meister,3,core expertise; iconicity; semantics
Kathryn Barnes,Paula G. Sánchez Ramón,3,bayesian stats; linear mixed-effects models; production experiments
Kathryn Barnes,Philippe Schlenker,3,bayesian stats; linear mixed-effects models; semantics
Kathryn Barnes,Sarah Schwarzenberg,3,iconicity; linear mixed-effects models; production experiments
Kathryn Barnes,Sebastian Walter,3,bayesian stats; linear mixed-effects models; semantics
Kathryn Barnes,Thomas Finkbeiner,3,iconicity; linear mixed-effects models; semantics
Kathryn Barnes,Annika Herrmann,2,iconicity; linear mixed-effects models
Kathryn Barnes,Carly A. Anderson,2,bayesian stats; core expertise
Kathryn Barnes,Jana Bressem,2,bayesian stats; production experiments
